HydroRes_inflow_NO,HydroRes_inflow_SE,HydroRes_inflow_FI,HydroRes_inflow_DK,HydroRes_inflow_IE,HydroRes_inflow_UK,HydroRes_inflow_NL,HydroRes_inflow_BE,HydroRes_inflow_LU,HydroRes_inflow_DE,HydroRes_inflow_PL,HydroRes_inflow_LV,HydroRes_inflow_EE,HydroRes_inflow_LT,HydroRes_inflow_CZ,HydroRes_inflow_AT,HydroRes_inflow_SK,HydroRes_inflow_HU,HydroRes_inflow_FR,HydroRes_inflow_CH,HydroRes_inflow_IT,HydroRes_inflow_SI,HydroRes_inflow_HR,HydroRes_inflow_RO,HydroRes_inflow_BG,HydroRes_inflow_GR,HydroRes_inflow_ES,HydroRes_inflow_PT
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
52934.7043,19378.53708,2311.158932,0,0,0,0,0,0,120.3960258,35.3124113,0,0,0,41.48241531,578.590072,5.739639029,0,1566.787369,4451.716554,2839.002218,0,607.0109539,436.167325,447.4418841,440.1552213,2218.495771,293.7321429
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
28575.7229,19144.71828,2034.264764,0,0,0,0,0,0,119.9585386,24.72972797,0,0,0,38.90791786,550.7676975,5.340156553,0,1384.569849,4230.90301,2876.545062,0,541.6198313,473.5319559,527.0461403,572.5026992,2172.234151,291.2142857
